"rig","well","event","remark","startTime","endTime","count_HR","historian"
157,"SHB 62-04","Downtime - Top drive","Downtime - Top Drive, REMOVE FAULTY TRACTION MOTOR, NEW MOTOR ARRIVED @ 24:00,",2016-03-29 18:00:05,2016-03-30 05:58:55,12,"Prior"
616,"CLUSTER 40B SURFACE HOLES","Downtime - Top drive","DOWNTIME - TOP DRIVE TAKE OUT BLOWER MOTOR",2016-04-27 08:15:05,2016-04-27 15:59:55,7.8,""
616,"CLUSTER 40B SURFACE HOLES","Downtime - Top drive","DOWNTIME - TOP DRIVE WAIT ON TOP DRIVE FAN MOTOR/ INSTALL FAN MOTOR",2016-04-27 16:15:05,2016-04-27 23:59:55,7.8,""
157,"SHB 62-04","Downtime - Top drive","Downtime - Top Drive: TROUBLE SHOOT POWER TO TRACTION MOTOR",2016-03-29 11:00:05,2016-03-29 17:58:55,7,"Prior"
153,"Progress HZ Graham a-B45-L/94-B-8","Downtime - Top drive","DOWNTIME - TOP DRIVE REMOVE TOP DRIVE MOTOR WAIT ON REPLACEMENT MOTOR (MONITOR WELL) CIRC WITH 2  INCH",2016-01-02 12:00:05,2016-01-02 18:44:55,6.8,""
153,"Progress HZ Graham a-B45-L/94-B-8","Downtime - Top drive","DOWNTIME - TOP DRIVE (INSTALL BLOWER AND DRIVE MOTOR)",2016-01-02 21:45:05,2016-01-03 04:14:55,6.5,""
151,"TYCOON E 1053 H","Downtime - Top drive","C/O TOP DRIVE MOTOR    MONT WELL ON TRIP TANK",2016-03-02 18:15:05,2016-03-03 00:29:55,6.2,"Yes"
121,"Spaur 10Q-241","Downtime - Top drive","Downtime - Top Drive REMOVE KELLY HOSE & GOOSE NECK HAD A WELDER COME OUT",2016-03-10 20:00:05,2016-03-11 01:59:55,6,"Prior"
151,"TYCOON E 1053 H","Downtime - Top drive","T.O.H F/ 7137' - 1775', CHANGE T.D MOTOR, MON WELL,WITH OPEN TIW VALVE .",2016-03-02 12:00:05,2016-03-02 17:58:55,6,"Yes"
151,"TYCOON E 1053 H","Downtime - Top drive","TROUBLE SHOOT ENCODER    C/O  ENCODER & ISOLATOR  VAVLES",2016-03-03 01:00:05,2016-03-03 05:58:55,5,"Yes"
769,"HAYHURST SW3 7HC","Downtime - Top drive","TROUBLE SHOOT TD, PIPE HANDLER LOCK SHOWING OPEN POSITION CAUSING QUILL TO KICK OUT WHILE DRILLING. INSTALLED NEW WIRE IN JUNCTION BOX ON TD",2016-02-25 18:00:05,2016-02-25 22:59:55,5,"Yes"
151,"TYCOON E 1006H","Downtime - Top drive","Downtime - Top Drive  TROUBLESHOOT EXCESSIVE SPIN IN CONNECTION MODE REVERSE",2016-04-19 01:30:05,2016-04-19 05:58:55,4.5,"Yes"
153,"Progress HZ Graham a-B45-L/94-B-8","Downtime - Top drive","DOWNTIME - TOP DRIVE (TROUBLE SHOOT) RACK BACK SATAND CIRC WITH 2 INCH MONITOR WELL)  REMOVE T-DRV DRIVE MOTOR",2016-01-02 08:00:05,2016-01-02 11:59:55,4,""
155,"MIDLAND AC/WYLIE B 1304 1304HB","Downtime - Top drive","TROUBLESHOOT ABB DRIVE DUE TO ID RUN FAILURE FF84, GOT NOV TECH AND ASSISTED RIG ELECTRICIAN TO RESOLVE ISSUE, REINSTALL PAREMETERS AND PERFORM ID MAG & ID RUN GOT OK, PERFORM TORQUE TEST WITH TESCO T",2016-03-25 18:00:05,2016-03-25 21:59:55,4,"Yes"
155,"MIDLAND AC/WYLIE B 1303  1310HA","Downtime - Top drive","CHANGE OUT TOP DRIVE BLOWER MOTOR, WHILE CIRCULATING AT A SLOW RATE",2016-04-20 06:00:05,2016-04-20 09:59:55,4,"Yes"
225,"DELPHI HZ BIGSTONE 15-23-60-23","Downtime - Top drive","RUN IN THE HOLE FILL PIPE EVERY 800 m FLOW CHECK @ 2293m, 4467m",2016-02-25 00:30:05,2016-02-25 04:29:55,4,""
773,"SUGG A 171-174 (ALLOC-H) 8NU","Downtime - Top drive","TROUBLESHOOT IBOP NOT OPENING PULL F/1416 T/790 @0700 CONTINUE TROUBLESHOOT FOUND BAD SWITCH ON JOYSTICK C/O SAME TIH F/790 T/1416",2016-04-04 06:00:05,2016-04-04 09:59:55,4,"Yes"
971,"SPHALERITE #1","Downtime - Top drive","TROUBLE SHOOT TDS ISSUE- FOUND SEVERED TDS CABLE. CHANGE OUT DP BAIL ARMS TO",2016-03-20 20:15:05,2016-03-20 23:58:55,3.7,""
151,"TYCOON E 1053 H","Downtime - Top drive","WORK ON T.D MOTOR WIRING.",2016-03-02 06:15:05,2016-03-02 09:44:55,3.5,"Yes"
587,"PORTER 39-A","Downtime - Top drive","Downtime - Top Drive (REPLACE PIGTAIL FOR BLOWER MOTOR)",2016-01-07 14:00:05,2016-01-07 17:29:55,3.5,""
950,"RM 14-01-2","Downtime - Top drive","Downtime - Top Drive ROTATION SENSOR TROUBLE SHOOT NO READING",2016-03-14 12:00:05,2016-03-14 15:29:55,3.5,""
950,"RM 14-01-2","Downtime - Top drive","Downtime - Top Drive/ROTATION READING DISABLED",2016-03-14 08:30:05,2016-03-14 11:58:55,3.4,""
121,"Spaur 10Q-241","Downtime - Top drive","Downtime - Top Drive KEEPS KICKING OUT CALLED TECH TO COME FIX IT",2016-03-08 13:15:05,2016-03-08 16:29:55,3.2,"Prior"
225,"DELPHI HZ BIGSTONE 15-23-60-23","Downtime - Top drive","RIG OUT AND SWAP TOP DRIVE SERVICE LOOP AND POWER UNIT",2016-02-24 20:45:05,2016-02-24 23:59:55,3.2,""
155,"MIDLAND AC/WYLIE B 1303  1310HA","Downtime - Top drive","CIRCULATE WHILE TROUBLE SHOOTING TOP DRIVE BLOWER MOTOR NOT WORKING,  CHANGE OUT BLOWER MOTOR",2016-04-20 03:00:05,2016-04-20 05:59:55,3,"Yes"
616,"CLUSTER 40B SURFACE HOLES","Downtime - Top drive","DOWNTIME - TOP DRIVE / TOP DRIVE HAND REPAIRING COUNTER BALANCE ACCUMULATORS AND REMOVING SHIMS FROM EXTEND FRAME SLIDE",2016-04-28 10:45:05,2016-04-28 13:44:55,3,""
769,"HAYHURST SW3 7HC","Downtime - Top drive","TOP DRIVE WAS KICKING OUT,, HANDLER LOCK UN LOCK WAS SHOWING UNLOCKED, SPARES IN SERVICE LOOP SHOWED BAD,TOP DRIVE TECH TROUBLE SHOT & FOUND CORROSION AND MOISTURE IN ROBOTICS PLUG, CLEANED AND DRIED ",2016-02-26 09:30:05,2016-02-26 12:29:55,3,"Yes"
771,"ROO STATE 1-4 WRD 1H","Downtime - Top drive","Downtime - Top Drive, TROUBLESHOOT HYDRAULIC ISSUES AND TD ROTARY PROBLEMS",2016-04-10 10:00:05,2016-04-10 12:59:55,3,""
771,"ROO STATE 1-4 WRD 1H","Downtime - Top drive","TROUBLE SHOOT HYDRAULICS ON TOP DRIVE",2016-05-01 06:00:05,2016-05-01 08:59:55,3,""
548,"KNOB HILL WDV1","Downtime - Top drive","Downtime - Top Drive (REPLACE TD SCOPE)",2016-04-21 21:00:05,2016-04-21 23:58:55,2.9,""
